Date,GOOGL,TSLA,FB,AMZN,AAPL,MSFT,VOD,ADBE,NVDA,CRM
2018-10-09,1145.170044,52.56000137,157.8999939,1870.319946,54.86861801,108.0877991,16.73398209,254.1600037,65.90234375,148.5
2018-10-10,1092.160034,51.37599945,151.3800049,1755.25,52.32677841,102.2145157,16.93640709,237.9100037,60.97591782,137.8099976
2018-10-11,1090.73999,50.44599915,153.3500061,1719.359985,51.86483383,101.9738083,16.82675743,238.5899963,58.35511398,139.2400055
2018-10-12,1120.540039,51.75600052,153.7400055,1788.609985,53.71741486,105.4977798,16.86049652,248.8699951,61.18687057,146.7400055
2018-10-15,1102.439941,51.91799927,153.5200043,1760.949951,52.5686264,103.6009903,17.17257118,238.0099945,58.41716385,141.9499969
2018-10-16,1133.079956,55.31800079,158.7799988,1819.959961,53.72708893,106.8746185,17.16413689,260.6700134,61.01066589,147.4400024
2018-10-17,1127.589966,54.35599899,159.4199982,1831.72998,53.49491119,106.5953903,17.02918625,258.9100037,60.32319641,147.0099945
2018-10-18,1097.910034,52.7820015,154.9199982,1770.719971,52.24453735,104.4675369,16.79302025,250.3500061,59.44711304,142.8399963
2018-10-19,1105.180054,52,154.0500031,1764.030029,53.04023361,104.621582,17.03762054,245.0299988,56.87594986,140.4900055
2018-10-22,1111.369995,52.18999863,154.7799988,1789.300049,53.36431122,105.5555267,16.52312088,251.0599976,57.38471603,142.9499969
2018-10-23,1114.910034,58.82799911,154.3899994,1768.699951,53.86736679,104.0823975,16.32912636,251.7599945,54.8631897,140.6600037
2018-10-24,1057.119995,57.70000076,146.0399933,1664.199951,52.0196228,98.51722717,15.93270206,238.4400024,49.49003983,133.2599945
2018-10-25,1103.589966,62.97200012,150.9499969,1782.170044,53.158741,104.2749634,15.94957352,252.9199982,51.58221436,140.8000031
2018-10-26,1083.75,66.18000031,145.3699951,1642.810059,52.31226349,102.9847717,15.70497608,245.8000031,49.21207047,135.5200043
2018-10-29,1034.72998,66.97000122,142.0899963,1538.880005,51.33035278,99.99034882,15.84836197,239.75,46.06760406,130.9900055
2018-10-30,1049.51001,65.98000336,146.2200012,1530.420044,51.58671188,99.87480164,15.90740108,238.4100037,50.38101959,132.1699982
2018-10-31,1090.579956,67.46399689,151.7899933,1598.01001,52.9314003,102.8403549,15.96644592,245.7599945,52.32427597,137.2400055
2018-11-01,1085.97998,68.85600281,151.75,1665.530029,53.74401474,101.9833984,16.70024109,245.2799988,54.13105011,139.5899963
2018-11-02,1071.48999,69.28199768,150.3500061,1665.530029,50.17913437,102.2145157,16.40503502,239.6399994,53.33934021,136.7899933
2018-11-05,1055.72998,68.27999878,148.6799927,1627.800049,48.75464249,103.5143433,16.62432861,239.8899994,52.5575676,135.4400024
2018-11-06,1069.569946,68.21199799,149.9400024,1642.810059,49.28187943,103.7165146,16.13512802,240.5599976,52.3813591,133.9499969
2018-11-07,1108.23999,69.63200378,151.5299988,1755.48999,50.77651215,107.7989426,16.4556427,253.4299927,53.05890274,141.7899933
2018-11-08,1094.630005,70.27999878,147.8699951,1754.910034,50.59934616,107.5967484,16.10139465,249.9600067,51.12308121,141.8699951
2018-11-09,1077.02002,70.10199738,144.9600067,1712.430054,49.62371445,105.4977798,15.84836197,244.8399963,51.04366302,136.9199982
